vestibular,questão,alternativa_a,alternativa_b,alternativa_c,alternativa_d,alternativa_e,alternativa_correta,area_conhecimento,alternativa escolhida pela ia,modelo,processing time,temperature used during test
UNICAMP 26,"Recentemente, grandes cidades iniciaram a implantação de
faixas exclusivas para motocicletas como, por exemplo, a fai-
xa azul na cidade de São Paulo. Um motociclista adentra, em
t = 0, um percurso retilíneo de uma faixa azul com velocidade
constante v0 = 36 km/h e mantém essa velocidade até o tempo
t = 30 s (trecho I). Em seguida, continua o percurso com desa-
celeração constante (a < 0) até parar completamente diante de
um semáforo em t = 50 s (trecho II). Após mais 30 s, ele retoma
o movimento e mantém uma aceleração constante e positiva
a = 0,8 m/s2 desde t = 80 s até t = 95 s (trecho III). Poste-
riormente, o motociclista segue com velocidade constante até
t = 120 s (trecho IV). A massa do conjunto motociclista + motocicleta é dada por
m = 180 kg. Para o trecho entre os tempos t = 30 s e t = 50 s,
em que o movimento tem desaceleração constante, é correto
afirmar que o módulo da força resultante que age nesse con-
junto é igual a",36 N,90 N,324 N,1 800 N,,B,Ciências da Natureza (Física),P,gemini/gemini-2.5-flash,10.2452,0.5
UNICAMP 26,"“O ato de comer é construído culturalmente, e mediado por
práticas, crenças, comportamentos, tabus, que formam os há-
bitos alimentares, que, por sua vez, relacionam-se a aspectos
culturais, socioeconômicos e psicológicos que envolvem o am-
biente alimentar de cada indivíduo. Os hábitos alimentares são
dinâmicos e sensíveis às mudanças que ocorrem nas socieda-
des, fundamentalmente, nos sistemas alimentares. Com o sis-
tema alimentar que predomina hoje, a humanidade vem subs-
tituindo a comida que carrega significados culturais e tradições
ancestrais por produtos alimentares ultraprocessados globaliza-
dos, que viajam quilômetros até chegar ao prato, causando a
homogeneização dos hábitos alimentares de forma global. O
problema é que os ultraprocessados têm acarretado sérios pro-
blemas à saúde da população [...]”. A partir do texto, é correto afirmar que a produção e o consu-
mo de alimentos no mundo contemporâneo possuem","menor vínculo com o lugar, visto que a indústria de pro-
cessamento de alimentos e a produção agropecuária estão
cada vez mais especializadas. Assim, produtos circulam com
maior velocidade e eficiência entre a área de produção e o
mercado consumidor, reduzindo o acesso da população a
alimentos in natura e à diversidade produtiva regional.","maior interdependência com o lugar, visto que a indústria de
processamento precisa manter a proximidade com as áreas
da produção agropecuária, aproveitando a modernização
do sistema de circulação para atingir o mercado consumidor
mais distante. Isso fortalece o acesso da população a produ-
tos da agricultura familiar e à diversidade produtiva regional.","maior conexão com o lugar, visto que a indústria de proces-
samento de alimentos pode estar distante da área de produ-
ção agropecuária. O sistema de circulação permite interligar,
com menor custo, a área de produção ao mercado consu-
midor, restringindo o acesso da população à produção da
pequena indústria local e à diversidade alimentar regional.","menor correlação com o lugar, visto que a indústria de pro-
cessamento e a produção agropecuária possuem pouca
vinculação entre si, tornando-se independentes, mas com
estreitamento promovido pelo sistema de circulação entre
a área de produção e o mercado consumidor. Isso favorece
o acesso da população aos alimentos da culinária local e à
diversidade alimentar regional.",,A,Ciências Humanas (Geografia/Sociologia),A,gemini/gemini-2.5-flash,15.6246,0.5
UNICAMP 26,"Leia os textos 1 e 2. Texto 1
Muitos povos, de diferentes matrizes culturais, têm a compre-
ensão de que nós e a Terra somos uma mesma entidade. Até o
começo do século XX, o mundo do trabalho e da produção se
dava com ferramentas e meios que não tinham a potência de
exaurir os recursos da Terra como hoje. Desse tempo para cá,
sobraram poucas humanidades espalhadas pelo planeta. Texto 2
A Terra é um denso conjunto de relações que articula seres vi-
vos, oceanos, atmosfera, clima e solos. Ela é dotada de uma
história e de um regime de atividades próprio, resultado da ar-
ticulação de múltiplos processos. Hoje, já não estamos lidando
com uma natureza selvagem e ameaçadora, nem com uma na-
tureza frágil, que deve ser protegida, nem com uma natureza
que pode ser explorada à vontade. A hipótese é nova. A Terra
não está ameaçada, diferentemente das inúmeras espécies vi-
vas que serão varridas pelas mudanças de seu meio, com uma
rapidez sem precedente.  A partir da leitura dos textos é correto afirmar que natureza e
sociedade","passaram a se influenciar por meio do desenvolvimento das
forças produtivas e do trabalho ao longo da história, o que
coloca a natureza em risco.","estão articuladas por múltiplos processos que envolvem
agentes humanos e não humanos (oceanos, atmosfera, cli-
ma, solo, etc.), o que coloca a natureza em risco.","possuem uma história comum e articulada, fato percebido
por povos de diferentes matrizes culturais, o que coloca a
sociedade em risco.","possuem um regime de atividades próprio, que envolve
agentes humanos e não humanos (oceanos, atmosfera, cli-
ma, solo, etc.), o que coloca tais agentes em risco.",,D,Ciências Humanas (Filosofia/Sociologia),A,gemini/gemini-2.5-flash,16.7819,0.5
UNICAMP 26,"Leia os textos 1 e 2.  Texto 1
A adolescência é uma questão de corporificação do social. Mu-
danças físicas, como hormônios em ebulição, são importantes,
mas elas não determinam como se experimenta a adolescência.
Essa é uma questão de como as práticas sociais se relacionam
com as mudanças físicas, dando significados sociais a eventos
biológicos. A adolescência é um processo de se tornar partici-
pante do mundo adulto. Ela é um período em que corpos em
desenvolvimento enfrentam desafios, e às vezes são danifica-
dos. Instituições, incluindo a escola, e os poderes do mundo
adulto são confrontados e negociados. Isso forma uma arena
de prazer, humor, curiosidade, mas também de ansiedade e vio-
lência.  Texto 2
Ordens de gênero são centrais para a vida dos adolescentes. Quando insistem na diferença absoluta entre masculinidade e
feminilidade criam um dilema e fazem com que os meninos
exagerem na performance da masculinidade, procurando se
aproximarem da posição social dos homens adultos. Práticas
corporais, como a sexualidade e o esporte, se tornam importan-
tes meios de diferenciação e espaços de produção das mascu-
linidades hegemônicas e subordinadas. Aquelas que produzem
maior status e prestígio masculino são as com os efeitos mais
tóxicos sobre os corpos dos adolescentes, como por exemplo o
hábito de fumar e praticar a violência física, etc.   A partir da leitura dos textos é correto afirmar que","a adolescência, como processo de participar do mundo
adulto, desafia padrões previamente estabelecidos, promo-
vendo riscos e violência que poderiam ser evitados caso tais
padrões fossem mantidos","masculinidades hegemônicas e subordinadas são produzi-
das biológica e socialmente, por meio de práticas corporais
como a sexualidade e o esporte e em confronto com insti-
tuições, como a escola.","eventos biológicos associados às mudanças corporais da
adolescência são significados socialmente, o que torna a or-
dem de gênero em que tais mudanças ocorrem importante
para compreendermos masculinidades e feminilidades.","a precocidade na busca de status de adultos e do prestígio
masculino por meninos adolescentes os torna ansiosos, fa-
zendo das masculinidades juvenis contemporâneas um todo
homogêneo e violento.",,C,Ciências Humanas (Sociologia),A,gemini/gemini-2.5-flash,18.2876,0.5
UNICAMP 26,"A OMS, e não uma associação trans-gay-lésbica-anarcofeminis-
ta, afirma hoje que “o gênero tipicamente descrito como mas-
culino e feminino é uma construção social que varia segundo as
culturas e épocas”. A partir desse princípio, a OMS reconhece a
dimensão arbitrária e inatural da taxonomia binária com a qual
as instituições sociais e políticas trabalham no Ocidente e abre
a porta para uma revisão mais profunda do paradigma da dife-
rença sexual. Nos próximos anos, deveremos elaborar coletiva-
mente uma epistemologia capaz de dar conta da multiplicidade
radical dos seres vivos, que não reduza o corpo à sua força re-
produtiva heterossexual, que não legitime a violência heteropa-
triarcal e colonial. Quando falo de uma nova epistemologia me
refiro também a um processo de ampliação radical do horizonte
democrático para reconhecer como sujeito político todo corpo
vivo sem que a designação sexual ou de gênero seja a condição
desse reconhecimento social e político (84).  Considerando o texto assinale a alternativa correta.","A diferença sexual entre homem e mulher é informada pela
biologia e indiferente a variações culturais, a despeito do
que dizem a OMS e as associações feministas, gays, lésbicas
e trans.","Embora seja inevitável admitir que haja pessoas que não
se enquadram na taxonomia binária, é necessário elaborar
coletivamente caminhos para ajudá-las a uma reconciliação
com a própria natureza.","As instituições sociais e políticas operam normalmente com
uma taxonomia binária violenta e excludente da multiplici-
dade de seres humanos, que precisa ser revista em nome da
ampliação do nosso horizonte democrático","Gênero e sexualidade são categorias identitárias inadequa-
das ao processo de ampliação do horizonte democrático
com vistas ao reconhecimento social e político de todos os
indivíduos em função do seu próprio mérito",,C,Ciências Humanas (Sociologia/Filosofia),C,gemini/gemini-2.5-flash,9.9106,0.5
UNICAMP 26,"Leia os textos 1 e 2.  Texto 1
""Para Rosa Luxemburgo, uma sociedade socialista terá necessa-
riamente que ser democrática (e vice-versa), o que significa que
só poderá resultar da participação efetiva das massas populares.
[...] ela rejeita premonitoriamente a estratégia dos partidos de
esquerda que chegarão ao poder no decorrer do século XX:
primeiro toma-se o poder, depois muda-se o mundo. Para ela,
a tomada do poder e a instituição da democracia (equivalente
aqui à mudança do mundo) não são duas etapas separadas no
tempo, mas duas faces da mesma moeda”.   Texto 2
""Sem eleições gerais, sem liberdade ilimitada de imprensa e de
reunião, sem livre debate de opiniões, a vida se definha em
qualquer instituição pública, torna-se uma vida aparente em
que só a burocracia subsiste como o único elemento ativo. [...]
Somente massas esclarecidas, autônomas, politicamente for-
madas poderão exercer o poder nos novos organismos de base,
os conselhos; em outras palavras, realizar o socialismo demo-
crático"".   Considerando os textos, assinale a alternativa que corresponde
ao pensamento de Rosa Luxemburgo.","Para afastar o socialismo da ameaça da burocracia, às vezes
é necessário restringir a liberdade de imprensa, o debate pú-
blico e as eleições gerais.","A instituição da democracia é uma etapa posterior à tomada
do poder político e equivale à mudança do mundo.","A democracia socialista não difere da democracia represen-
tativa: ambas se baseiam na soberania popular dos conse-
lhos, mas tendem à burocracia partidária","Democracia e socialismo são sinônimos, pois os conselhos
populares deveriam possibilitar a participação ativa das mas-
sas na condução do poder político e econômico.",,D,Ciências Humanas (História/Sociologia),A,gemini/gemini-2.5-flash,12.9008,0.5
UNICAMP 26,"Os textos 1 e 2 apresentam a compreensão de Marco Túlio Cí-
cero (106 − 43 a.C), magistrado e Cônsul da República Romana,
sobre o tema da justiça.    Texto 1
“Convém recorrer aos fundamentos da justiça que propus no
começo: primeiro, a ninguém prejudicar, depois, servir à utili-
dade comum”.   Texto 2
“Único, com efeito, é o direito a partir do qual a sociedade dos
homens foi congregada, e una a lei que o constituiu, lei que é a
reta razão ao obrigar e proibir. Quem a ignora é injusto, esteja
ela escrita em algum lugar ou em nenhum. Se a justiça é obedi-
ência às leis escritas e às instituições dos povos, e se (como di-
zem aqueles mesmos aos quais me referi) todas as coisas devem
ser medidas pela utilidade, negligenciará as leis e as destruirá,
se o puder, aquele que assim julgá-lo vantajoso para si; do que
se segue que absolutamente não há justiça, se esta não é fun-
dada na natureza, e a que se constitui por causa da utilidade é
deteriorada por essa utilidade”.   Considerando os textos, escolha a alternativa correta.","A justiça consiste na obediência às leis escritas e às insti-
tuições dos povos: deve servir à utilidade comum e não à
utilidade daquilo que é vantajoso para si.","A utilidade comum é o fundamento da justiça de uma Repú-
blica e, para serem justos, os cidadãos devem agir conforme
a reta razão, com a qual a natureza lhes dotou.","A reta razão, enquanto lei natural, é a base da justiça. A
injustiça ocorre quando a utilidade deixa de ser a medida de
todas as coisas.","Se a justiça é agir conforme a reta razão e a utilidade é um
dos fundamentos da justiça, agir com vistas aquilo que é
vantajoso para si é justo.",,B,Ciências Humanas (Filosofia),A,gemini/gemini-2.5-flash,18.6854,0.5
UNICAMP 26,"Os dados da alfândega de Buenos Aires fixam em 18.100 o nú-
mero de africanos oficialmente importados no porto entre 1597
e 1645. Durante alguns anos, a zona platense esteve aberta
ao contrato de fornecimento de pessoas escravizadas (Asiento),
com os navios negreiros saindo diretamente de Luanda para
Buenos Aires. Nos anos de proibição, o contrabando ocorria por
meio do Rio de Janeiro. Barcos ligavam os dois portos. No retor-
no, traziam prata lavrada e por lavrar e ouro, não só para o Rio
de Janeiro, mas também para a Bahia e o Recife. Em torno das
trocas de africanos pela prata do Peru (Potosí), esses interesses
foram consolidados no Rio de Janeiro. Desse episódio resultou
uma tradição religiosa conhecida: o culto a Nossa Senhora de
Copacabana no Rio de Janeiro, oriundo do Baixo Peru em 1637.
Nos anos seguintes, uma capela dedicada à santa foi erigida na
praia que recebeu o seu nome.   Com base no excerto, assinale a alternativa correta.","A extração de prata em Buenos Aires conectou o Brasil ao
comércio internacional de metais que passava por Copaca-
bana.","O tráfico de pedras preciosas de Buenos Aires complemen-
tava o fornecimento de mão de obra trazida de Luanda para
o Porto de Copacabana.","Copacabana remete ao passado em que as Américas por-
tuguesa e espanhola se conectavam por redes comerciais e
culturais.","Copacabana preserva a memória do desembarque de escra-
vizados que, dali, eram levados para Buenos Aires e Peru.",,C,Ciências Humanas (História),A,gemini/gemini-2.5-flash,13.0003,0.5
UNICAMP 26,"Entre várias obras que devem formar este precioso presente
que ofereço aos meus concidadãos, dei o primeiro lugar ao
Contrato Social, escrito pelo cidadão de Genebra, Jean-Jacques
Rousseau. Este homem imortal, que obteve a admiração de seu
século e será o assombro de todas as idades, [... ensinou que]
os povos aprenderam a procurar no pacto social a raiz e a única
origem da obediência, não reconhecendo os seus chefes como
emissários da divindade, enquanto não mostrassem as patentes
do céu na qual eram destinados a imperar sobre seus semelhan-
tes. [...] Como o autor teve a desgraça de delirar em matérias
religiosas, suprimo o capítulo e as passagens principais onde
delas tratou. Mariano Moreno, tradutor de Rousseau para o espanhol, foi se-
cretário do primeiro governo da Argentina entre os anos 1810
e 1811. No texto acima, ele","critica a defesa que Rousseau faz da Igreja e dos governos
absolutistas na obra O Contrato Social.","interfere na tradução e edição da obra de Rousseau confor-
me seus ideários políticos e ideológicos.","justifica a tradução da obra para difundir a ideia de obediên-
cia cívica ligada à religião católica e ao rei.","demonstra seu caráter conservador e a resistência ao pensa-
mento liberal e iluminista na Argentina.",,B,Ciências Humanas (História),A,gemini/gemini-2.5-flash,11.7906,0.5
UNICAMP 26,"Em 1937, um golpe de Estado instaurou o Estado Novo no Bra-
sil, um regime autoritário. Diferentes leituras do golpe de Var-
gas foram publicadas no jornal The New York Times, ilustrando
o impacto difuso daquele evento na imprensa. De um lado, es-
crevendo da Argentina, o chefe dos correspondentes na Amé-
rica Latina, John White, afirmou o caráter “pseudo-fascista” do
movimento, registrando a atuação dos censores sobre o traba-
lho dos correspondentes internacionais que atuavam no Brasil.
White destacava o apoio alemão ao novo regime brasileiro e
os desafios de centralizar o poder nas mãos de Getúlio Vargas.
De outro lado, Frank Garcia, correspondente do The New York
Times, que atuava então no Brasil, comentou:  Eu posso dizer que, embora tenha havido censura, eu não tive
dificuldades em enviar matérias ao The New York Times. Elas fo-
ram telegrafadas sem nenhum problema. Essa nova Constitui-
ção configura o Estado um tanto fascista, mas não inteiramen-
te. É mais democrático que fascista. Na verdade, é nacionalista.     Sobre a repercussão internacional do Golpe do Estado Novo no
exterior, podemos afirmar que havia","percepção unânime do pleno alinhamento ideológico do
Brasil com governos fascistas.","condenação ao fascismo e sugestão de sanções econômicas
em razão do apoio alemão a Vargas.","controvérsias e ambiguidades na caracterização ideológica
do novo governo Vargas.","estratégias de resistência à censura imposta aos jornalistas
que atuavam no Brasil.",,C,Ciências Humanas (História),A,gemini/gemini-2.5-flash,11.1794,0.5
UNICAMP 26,"""A OMC não será uma organização mundial de comércio até
que a China seja um país-membro"", afirmou Mike Moore, di-
retor-geral da OMC. A assinatura de um acordo bilateral de co-
mércio entre os Estados Unidos e a China teve uma repercussão
positiva no mercado internacional, apesar da desconfiança de
que a China poderá ter dificuldades para cumprir o prometido.
""A China deu um passo grande em direção à OMC"", disse o
presidente dos Estados Unidos, Bill Clinton. A União Europeia
aprovou a assinatura do acordo. A adesão da China à OMC
permitirá incluir no sistema comercial internacional a décima
potência do planeta, que cresceu em média 9,6% ao ano desde 1980. O acordo será um teste importante para verificar se a
economia chinesa aguentaria o impacto de sua incorporação à
OMC e se continuaria com seu crescimento. Desde 1986, o país
asiático busca ser aceito em um organismo de comércio inter-
nacional. Segundo nota chinesa, ""ambas as partes estreitarão
sua cooperação no seio da OMC para garantir no futuro o au-
mento de suas relações bilaterais e a prosperidade da economia
mundial"".   Comparando as expectativas sobre o ingresso da China na Or-
ganização Mundial de Comério (OMC) expressas no texto com
o contexto atual, é correto afirmar que","havia um otimismo em relação à expansão da globalização
da economia mundial entre as décadas de 1990 e 2000.","a entrada da China na OMC interrompeu o deslocamento
das indústrias norte-americana e europeia para a Ásia.","a guerra tarifária contemporânea revela o fracasso do mo-
delo de desenvolvimento chinês dos anos 2000.","os compromissos assumidos pela China na entrada na OMC
permitiram a consolidação dos direitos humanos no país.",,A,Ciências Humanas (Geografia),A,gemini/gemini-2.5-flash,18.1534,0.5
UNICAMP 26,"Um agricultor realizou a remoção de um anel da casca de ra-
mos caulinares, prática conhecida como anelamento, para au-
mentar o tamanho dos frutos em seu pomar. Ele observou dois
grupos de plantas após algumas semanas. As plantas do gru-
po 1 tinham uma região claramente anelada nos ramos e seus
frutos eram maiores, se comparadas às plantas do grupo 2. Já
as plantas do grupo 2 perderam as folhas e foram claramente
prejudicadas pelo anelamento. Ao retornar no ano seguinte, o
anelamento era quase imperceptível nas plantas do grupo 1.   Considerando as informações apresentadas e os seus conheci-
mentos em biologia vegetal, é correto afirmar que o anelamen-
to eliminou os vasos do","xilema e limitou o transporte de água para as folhas, com-
prometendo a atividade do câmbio vascular nas plantas do
grupo 1.","floema e restringiu o transporte dos produtos da fotossínte-
se para as folhas, sem comprometer a atividade do câmbio
vascular nas plantas do grupo 2.","xilema e limitou o transporte de água para as raízes, com-
prometendo a atividade do câmbio vascular nas plantas do
grupo 2.","floema e restringiu o transporte dos produtos da fotossínte-
se para as raízes, sem comprometer a atividade do câmbio
vascular nas plantas do grupo 1.",,D,Ciências da Natureza (Biologia),A,gemini/gemini-2.5-flash,14.2082,0.5
UNICAMP 26,"Rogério é funcionário de uma fábrica de automóveis. Em de-
zembro de 2024, seu gestor fez duas propostas de aumento
salarial:  a proposta 1 consistia em um aumento de 50% do seu sa-
lário, a partir do salário a ser recebido em janeiro de 2025,
mas sem nenhum tipo de reajuste nos próximos três anos,
ou seja, até dezembro de 2027;  a proposta 2 consistia em um aumento de 20% a cada ano;
o reajuste ocorreria no salário de janeiro de cada um dos
próximos três anos, a partir de 2025.    Para decidir a qual proposta aderir, Rogério calculou o montan-
te total que receberia ao longo dos três anos em cada proposta,
isto é, de janeiro de 2025 a dezembro de 2027. Ele concluiu
que o total a ser recebido na proposta 1 é, aproximadamente",3% maior que o total a ser recebido na proposta 2.,1% maior que o total a ser recebido na proposta 2.,3% menor que o total a ser recebido na proposta 2.,1% menor que o total a ser recebido na proposta 2.,,A,Matemática,S,gemini/gemini-2.5-flash,15.6382,0.5
UNICAMP 26,"Sobre dois polinômios p ( x ) e q ( x ) de coeficientes reais sabe-se
que:   p ( x ) + q ( x ) tem grau igual a 3.   p ( x ) · q ( x ) tem grau igual a 8.   É correto afirmar que o grau de p ( x ) − q ( x ) é igual a",5.,4.,3.,2.,,B,Matemática,S,gemini/gemini-2.5-flash,22.4564,0.5
UNICAMP 26,"Em uma creche se realiza o “dia da troca do brinquedo”. Cada
criança leva um brinquedo para a escola e o guarda na Caixa
Divertida. Ao final do dia, cada criança retira um brinquedo da
Caixa Divertida sem olhar, e o leva para brincar em casa. Em uma sala com cinco crianças, qual é a probabilidade de exa-
tamente duas crianças retirarem da Caixa Divertida seus pró-
prios brinquedos?",1/5.,1/6.,1/25.,1/30.,,B,Matemática,E,gemini/gemini-2.5-flash,13.2412,0.5
UNICAMP 26,Considere A = { x∈ ℕ : | x −5| ≥ 2 e | x −11| ≤ 9 }. Quantos números primos pertencem ao conjunto A?  ,5.,6.,7.,8.,,C,Matemática,P,gemini/gemini-2.5-flash,16.7782,0.5
UNICAMP 26,"Em um jogo de videogame sobre guerra, cada jogador deve
montar sua tropa escolhendo 100 combatentes. Ele tem à sua
disposição dois tipos de combatentes, soldados e estrategistas,
que possuem duas habilidades, astúcia e força, com as seguin-
tes pontuações:  o soldado tem 30 pontos de astúcia e 70 pontos de força.  o estrategista tem 80 pontos de astúcia e 20 pontos de força.  A força total da tropa é a soma das pontuações de força de
cada um dos combatentes, e a astúcia total da tropa é a soma
das pontuações de astúcia de cada um dos combatentes.   Para montar uma tropa de modo a obter as mesmas pontua-
ções de força total e de astúcia total, quantos soldados e quan-
tos estrategistas devem ser escolhidos?",70 soldados e 30 estrategistas,60 soldados e 40 estrategistas,50 soldados e 50 estrategistas,40 soldados e 60 estrategistas,,B,Matemática,B,gemini/gemini-2.5-flash,9.4212,0.5
UNICAMP 26,"É advogado com d mudo, estúpida!
Mirian Goldenberg
Antropóloga e professora da Universidade Federal do Rio de Janei-
ro, é autora de “A Invenção de uma Bela Velhice”  Fiz um vídeo para o Instagram sobre a minha coluna intitula-
da No dia 1º de abril, quase caí no golpe do ‘falso advogado’.
No vídeo, confessei que quase morri de vergonha por quase ter
caído em um golpe no Dia da Mentira.
Fiquei triste quando li alguns dos comentários sobre o vídeo:
“AdEvogado?; “Não é adevogado que fala”; “A desinforma-
da que fala adêvogado aprendeu o que é golpe de verdade
kkkk”; “Adevogado? Pode isso? Uma ‘intelequitual’ brasileira
da linha de frente falando assim?”; “Um currículo e tanto e
falando adevogado?; “Chamou de adEvogado. Então não foi
difícil entender por que caiu em golpe... Eu teria é vergonha de
falar adEvogado”; “A palavra ‘advogado’ se pronuncia ‘advo-
gado’, com o ‘d’ mudo. A pronúncia adevogado é um erro de
ortoépia”; “É advogado com ‘d’ mudo, estúpida!”.
Perguntei ao meu marido, que editou o vídeo, por que ele
não me falou nada. Ele respondeu: “Porque eu acho bonitinho.
Você é filha de advogado e tem dois irmãos advogados. Des-
de menina aprendeu a falar assim. Não é fácil falar ‘advogado’
com o ‘d’ mudo. Eu falo advogado com ‘i’: adivogado. Será que
alguém consegue falar advogado com o ‘d’ mudo?”
Da próxima vez que fizer uma denúncia importante, vou ten-
tar falar advogado com o “d” mudo. Será que vou conseguir?   Considerando que consoantes mudas não são seguidas de uma
vogal, e levando em conta as duas pronúncias para advogado
mencionadas no texto, as críticas reproduzidas no segundo pa-
rágrafo revelam","preconceito linguístico, já que os comentários negativos fo-
ram motivados pelo fato de a autora ter um baixo nível de
escolaridade.","desconhecimento linguístico, uma vez que a palavra advo-
gado não é pronunciada com “d” mudo no português bra-
sileiro.","negacionismo linguístico, pois os críticos não reconhecem
que a pronúncia adevogado é a mais comum na norma cul-
ta.","correção linguística, porque só uma das duas pronúncias
ocorre no português, enquanto a outra é um desvio foné-
tico.",,B,Linguagens (Língua Portuguesa/Linguística),A,gemini/gemini-2.5-flash,20.8843,0.5
UNICAMP 26,"A rua é nóix! Sempre com letra minúscula, porque não é o Nós
da totalidade, uma vez que não sabemos exatamente quem ou
quantos somos, quem faz parte ou não, quem está dentro ou
fora. Mas, se pegar para um, vai pegar pra geral. O nóix é sem-
pre mais que um. Mesmo sozinho, na missão, existe algo para
além da presença física do eu e do outro. Assumindo nossas
ancestralidades, convivemos com os espíritos daqueles que já
se foram. O nóix opera pela lógica dos bondes de galera, do
lado A ou lado B. Quem é amigo fecha com a gente, quem é
alemão rala. Porque o fechamento é o fundamento ético das
ruas. Recebe-se quem chega de boa, na paz, mas, se vacila, vai.
Com i e x, o nóix demarca um sotaque, um registro local, um
lugar, o Pretuguês de Lélia Gonzalez. Desobedecendo à instituída norma culta, o nóix – escrito ou falado – revela sua potên-
cia operando à margem da obediência à linguagem fonética
dominante. O nóix é a potência da contaminação diferencial
das diversidades de um povo em tempos e espaços múltiplos,
que se repete numa atmosfera espectral que ultrapassa a lógica
temporal predominante.   Sobre a diferença que o texto estabelece entre Nós e nóix, po-
demos afirmar que está relacionada a uma distinção","sociocultural, pois esses termos se referem a grupos demar-
cados distintamente: enquanto Nós é bem delimitado, nóix
diz respeito a uma coletividade difusa, mas marcada por
compartilhar vivências específicas.","gramatical, pois esses termos não pertencem à mesma clas-
se de palavras: enquanto Nós é um pronome típico da nor-
ma culta, nóix é um substantivo popular que serve à expres-
são da diversidade.","histórica, pois esses termos caracterizam os indivíduos em
função do seu passado: enquanto Nós abrange aqueles sem
ancestralidade, nóix reúne os que assumem os ancestrais
como parte de sua história.","política, pois esses termos revelam uma polarização na for-
ma de se relacionar com o poder: enquanto Nós simboliza
o apoio à opressão social, nóix caracteriza uma rejeição aos
poderes instituídos.",,A,Linguagens (Língua Portuguesa/Linguística),A,gemini/gemini-2.5-flash,16.965,0.5
UNICAMP 26,"A rua é nóix! Sempre com letra minúscula, porque não é o Nós
da totalidade, uma vez que não sabemos exatamente quem ou
quantos somos, quem faz parte ou não, quem está dentro ou
fora. Mas, se pegar para um, vai pegar pra geral. O nóix é sem-
pre mais que um. Mesmo sozinho, na missão, existe algo para
além da presença física do eu e do outro. Assumindo nossas
ancestralidades, convivemos com os espíritos daqueles que já
se foram. O nóix opera pela lógica dos bondes de galera, do
lado A ou lado B. Quem é amigo fecha com a gente, quem é
alemão rala. Porque o fechamento é o fundamento ético das
ruas. Recebe-se quem chega de boa, na paz, mas, se vacila, vai.
Com i e x, o nóix demarca um sotaque, um registro local, um
lugar, o Pretuguês de Lélia Gonzalez. Desobedecendo à instituída norma culta, o nóix – escrito ou falado – revela sua potên-
cia operando à margem da obediência à linguagem fonética
dominante. O nóix é a potência da contaminação diferencial
das diversidades de um povo em tempos e espaços múltiplos,
que se repete numa atmosfera espectral que ultrapassa a lógica
temporal predominante.    A partir das análises de Lélia Gonzalez – intelectual, professora
universitária, mulher, negra e feminista – conseguimos compre-
ender quão extensa é a introdução de palavras e termos de ori-
gens africanas na nossa língua. O Pretuguês é, então, parte da
africanização da língua portuguesa brasileira. As pessoas negras
escravizadas resistiam de inúmeras formas, lutando, fugindo,
se organizando, mas também através da fala, no jeito de agir e
na forma de viver que se enraizou na maneira de ser de todo o
Brasil. E isso vem da ancestralidade, é o passar do conhecimen-
to através do tempo e das relações de respeito pelo que veio
antes, através do cântico antigo, da reza falada, da contação
de história que os entrelaços linguísticos vão formando. Muitos
vocábulos estão tão acomodados no nosso idioma que sequer
paramos para pensar sua origem e seu significado. Mas são de
origem africana, como dengo, quitanda, cafuné, muvuca, ca-
çula e axé.   Considerando esse texto, a menção ao “Pretuguês de Lélia
Gonzalez” no artigo de Marcelo José Derzi Moraes, apresenta-
do na questão anterior, ocorre pelo fato de nóix ser","um vocábulo introduzido no Brasil pelos africanos escraviza-
dos, da mesma forma que outras palavras de origem africa-
na acomodadas na língua.","uma expressão identitária que serve para demarcar os ne-
gros brasileiros e segregá-los dos demais grupos étnico-ra-
ciais que compõem o país.","uma marca linguística associada a um grupo cujos ancestrais
reúnem aqueles que contribuíram para a africanização do
português brasileiro.","um traço dialetal característico dos sotaques urbanos brasi-
leiros que são fortemente marcados pela presença de pala-
vras africanas.",,C,Linguagens (Língua Portuguesa/Linguística),A,gemini/gemini-2.5-flash,19.4477,0.5
